file,ptagpu total,ptagpu analysis,svf init,cuda init + dealloc,update_pts kernel,main kernel,thrust sort,store kernel,async gep+ind,svf geps,svf inds,used GPU memory MiB,bitcode filesize MB,wavediff total,wazediff analysis,naive ander,speedup,diff,num nodes,num edges,ptagpu time scientific,wavediff scientific,,file again,a100 ptagpu total,a100 ptagpu analysis,a100 svf init,a100 cuda init + dealloc,a100 update_pts kernel,a100 main kernel,a100 thrust sort,a100 store kernel,a100 async gep+ind,a100 svf geps,a100 svf inds
bash.bc,15489,12155,366.515,2489.389,1129.063,1324.698,743.67,858.932,5190.693,4845.08,941.126,1024,5.4,16222.113,12921.184,102195.752,1.04733120278908,733,238,77,15.489,16.222113,,bash.bc,13126.316,9402.316,316.589,3339.273,955.132,1258.228,103.923,824.671,3404.405,3807.1,971.248
bison.bc,9837.06,8036.01,214.357,1650.84,830.177,234.046,675.748,54.633,4317.114,1917.68,1666.06,260,3.4,18977.376,17209.094,119999.054,1.92917152075925,9140,146,59,9.83706,18.977376,,bison.bc,7599.453,5815.973,181.425,3397.507,657.559,203.553,92.256,41.323,2941.927,1411.87,1451.22
diff.bc,4231.58,3634.95,66.9458,2065.479,103.057,33.12,379.843,23.591,953.283,511.954,47.1997,71,1.3,1469.056,879.791,1561.577,0.347164888764953,-2760,54,17,4.23158,1.469056,,diff.bc,3304.592,2721.582,53.1968,3119.867,100.198,29.448,73.122,13.813,379.511,296.188,32.8466
git.bc,4690000,4680000,2190.25,17095.315,70148,3968158.215,11743.372,68373.295,538454.71,498296,174922,21467,25,557953.924,544465.294,33404492.853,0.118966721535181,-4130000,869,379,4690,557.953924,,git.bc,869302,855085,1489.25,2852.62,31480.079,350891.929,4856.937,30923.576,431554.218,377337,106563
htop.bc,5275.51,4633.51,68.4251,2053.573,229.714,202.955,433.321,41.092,1587.968,777.804,460.449,93,1.6,2912.693,2235.136,5696.107,0.552115909172762,-2360,48,20,5.27551,2.912693,,htop.bc,4038.684,3474.304,58.7708,3238.629,212.349,189.568,74.528,20.536,852.136,485.829,353.452
httpd.bc,6414.69,4308.79,309.354,1481.509,303.996,42.605,511.057,8.219,1637.408,1065.93,58.6591,160,1.4,5321.631,3297.222,2889.208,0.829600651005739,-1090,169,95,6.41469,5.321631,,httpd.bc,4720.701,2932.561,233.173,3125.778,258.309,39.757,57.139,5.049,848.704,740.774,53.4626
nano.ll,1751.01,1687.37,7.73208,1533.113,1.829,3.04,45.14,1.057,94.275,10.0379,0.233566,7,0.298,87.438,27.551,98.5,0.0499357513663543,-1660,6,2,1.75101,0.087438,,nano.ll,1626.456,1573.306,5.65595,3163.307,2.024,4.073,8.778,0.786,18.179,7.08039,0.216466
perl.bc,45093.4,38385.8,775.915,2939.635,3457.35,6125.819,767.334,2751.206,21457.059,18962.7,5016.39,3999,4.9,103338.824,96680.454,2688610.846,2.29166183964837,58200,445,206,45.0934,103.338824,,perl.bc,41853.936,35132.236,644.417,3277.899,3452.222,6873.348,164.523,2906.182,18027.103,18257.4,5479.08
php.bc,65000000,64900000,2809.67,20928.407,193679.543,53783100.092,12298.489,10732741.786,187398.213,467306,182756,27561,52,645697.175,619427.662,6530636.248,0.00993909334815148,-64300000,1582,611,#VALUE!,645.697175,,php.bc,500086,474282,2561.2,3815.678,32016.81,184075.139,2797.468,49062.434,198397.5,271246,122039
postgres.bc,465527,440058,2911.59,8824.47,65379.251,192989.575,1374.555,32019.477,135372.093,132753,42912.9,16430,18,997355.718,968545.228,6481597.401,2.14242292713419,532000,1432,721,465.527,997.355718,,postgres.bc,290219,264326,2465.07,4439.149,12040.787,140270.103,211.504,14064.883,89735.395,115830,55133.6
python.bc,203649,192276,1344.91,4088.639,14380.164,63762.44,16295.704,12199.745,79598.063,79601.8,40129.2,9016,21,536515.479,523292.751,1731373.999,2.63451074643136,333000,742,313,203.649,536.515479,,python.bc,172701,160923,1088.5,3468.036,14790.821,65522.991,203.848,11336.972,63986.167,84793.5,41076.2
redis-server.bc,11592.5,8847.19,357.262,2785.032,688.684,95.318,1158.755,42.613,3688.319,2409.95,247.346,207,4.8,8679.144,5932.452,4834.759,0.748686133275825,-2910,207,67,11.5925,8.679144,,redis-server.bc,8830.066,6050.856,247.339,3339.556,615.407,103.871,109.152,24.58,2143.869,1774.65,327.162
vim.bc,268628,258039,1166.83,9292.169,10709.775,113872.762,947.744,20876.445,100689.414,140142,10978.9,11966,7.7,1052995.525,1040935.656,NULL,3.91990233706092,784000,696,280,268.628,1052.995525,,vim.bc,247859,237206,963.959,3336.741,7599.231,125708.265,123.82,23102.001,75995.761,150194,14147.9
vmlinux.bc,NaN,,,,,,,,,,,,72,32100566.652,32017233.503,NULL,#VALUE!,#VALUE!,4464,2206,#VALUE!,32100.566652,,vmlinux.bc,NaN,,,,,,,,,,
vmlinux-tiny.bc,188315,182559,654.966,2405.784,10600.173,25890.805,12319.814,7893.207,121492.773,37080,33641.9,2175,5.4,91479.697,85783.186,1410004.628,0.485780192762127,-96800,393,157,188.315,91.479697,,vmlinux-tiny.bc,136164.602,130487.602,554.447,3152.182,11286.157,26563.67,236.409,8721.936,79417.327,35298.4,33531.7
zstd.bc,13172.6,9272.48,388.764,2791.627,680.571,90.32,687.799,80.554,4526.521,3692.59,198.79,454,2.3,11063.214,7228.66,7958.999,0.83986563017172,-2110,280,101,13.1726,11.063214,,zstd.bc,9795.036,6465.416,312.077,3104.891,546.614,70.509,75.957,61.621,2587.828,2361.16,215.945
